BU,Customer,RAC,Prism,PlanRevenue,Quarter,PlanCost
EU,Aareon,Aareon Nederland B.V.,Aareon,0.178752173,Q1,0.064706272
US RMD,ABFRL,Aditya Birla Fashion & Retail Limited,ABFRL,0.427476379,Q1,0.356704624
US TMTE,ACTS,Acts Retirement-Life Communities Inc.,ACTS,0.15,Q1,0.079278738
US RMD,Advance Auto Business Support LLC,Advance Auto Business Support LLC,Advance Auto Business Support LLC,0,Q1,0
US HLS,Aledade Inc,Aledade Inc,Aledade,0.123,Q1,0.06396
ANZ,Allied Pinnacle Pty Ltd,Allied Pinnacle Pty Ltd,Allied Pinnacle,0,Q1,0
US RMD,Alltech Inc.,Alltech Inc.,AllTech,0.1,Q1,0.038862626
US RMD,Alpha Luna,Alpha Luna,Alpha Luna,0.08,Q1,0.038951381
US HLS,Alteon Health,Alteon Health,Alteon Health,0,Q1,0
US BFSI,Amalgamated Bank,Amalgamated Bank,Amalgamated Bank,0,Q1,0
EU,Ammega Group,Ammega Group B.V.,Ammega Group,1.221473182,Q1,0.618867165
EU,APAC NBD,APAC NBD,APAC NBD,0.026775993,Q1,0.015048548
UK IRELAND,APAC NBD,APAC NBD,APAC NBD,0.05436338,Q1,0.034793581
US BFSI,APAC NBD,APAC NBD,APAC NBD,0.098670517,Q1,0.065032974
US RMD,APAC NBD,APAC NBD,APAC NBD,0.081139373,Q1,0.048685048
US TMTE,APAC NBD,APAC NBD,APAC NBD,0.125766027,Q1,0.075461824
UK IRELAND,Apogee Corporation,Apogee Corporation,Apogee Corporation,0.306621136,Q1,0.161287897
US HLS,Appian RX,Appian RX,Appian RX,0,Q1,0
US TMTE,Applied Systems,"Applied Systems, Inc.",Applied Systems,0,Q1,0.000339846
US TMTE,Aquent,Aquent LLC,Aquent,0.18,Q1,0.102788587
US TMTE,Aristocrat Technologies,Aristocrat Technologies India Private Limited,Aristocrat Technologies,0.051005704,Q1,0.028053958
EU,ARTIN Solutions,ARTIN,ARTIN Solutions,0.039722705,Q1,0.019431313
US HLS,Aspen Surgical Products Inc,Aspen Surgical Products Inc,Aspen Surgical Products Inc,0,Q1,0
EU,Assa Abloy,Assa Abloy Limited,Assa Abloy,0,Q1,0.0117
