Title,Total_Revenue,FinancialYear,Quarter,Month
"A&W",0.00130000000000000,FY26,Q1,Apr
"A&W",0.00130000000000000,FY26,Q1,May
"A&W",0.00130000000000000,FY26,Q1,Jun
"Aareon",0.0726000000000000,FY26,Q1,Apr
"Aareon",0.0748000000000000,FY26,Q1,May
"Aareon",0.0726000000000000,FY26,Q1,Jun
"ABFRL",0.150000000000000,FY26,Q1,Apr
"ABFRL",0.140000000000000,FY26,Q1,May
"ABFRL",0.140000000000000,FY26,Q1,Jun
"Accutech Digital Consulting LLC",0,FY26,Q1,Apr
"Accutech Digital Consulting LLC",0,FY26,Q1,May
"Accutech Digital Consulting LLC",0,FY26,Q1,Jun
"ACTS",0.0356200000000000,FY26,Q1,Apr
"ACTS",0.0432000000000000,FY26,Q1,May
"ACTS",0.0396000000000000,FY26,Q1,Jun
"Advance Auto Parts (AAP)",0,FY26,Q1,Apr
"Advance Auto Parts (AAP)",0,FY26,Q1,May
"Advance Auto Parts (AAP)",0,FY26,Q1,Jun
"AI Chatbot License",0,FY26,Q1,Apr
"AI Chatbot License",0,FY26,Q1,May
"AI Chatbot License",0,FY26,Q1,Jun
"Airlife",0.200000000000000,FY26,Q1,Apr
"Airlife",0.200000000000000,FY26,Q1,May
"Airlife",0.150000000000000,FY26,Q1,Jun
"Aledade",0.0660000000000000,FY26,Q1,Apr
"Aledade",0.0480000000000000,FY26,Q1,May
"Aledade",0.0460000000000000,FY26,Q1,Jun
"Allied Pinnacle",0.00470000000000000,FY26,Q1,Apr
"Allied Pinnacle",0.00200000000000000,FY26,Q1,May
"Allied Pinnacle",0.00200000000000000,FY26,Q1,Jun
"AllTech",0.0400000000000000,FY26,Q1,Apr
"AllTech",0.0400000000000000,FY26,Q1,May
"AllTech",0.0400000000000000,FY26,Q1,Jun
"Alpha Luna",0.0150000000000000,FY26,Q1,Apr
"Alpha Luna",0.0150000000000000,FY26,Q1,May
"Alpha Luna",0.0150000000000000,FY26,Q1,Jun
"Alteon Health",0,FY26,Q1,Apr
"Alteon Health",0,FY26,Q1,May
"Alteon Health",0,FY26,Q1,Jun
"Amalgamated Bank",0,FY26,Q1,Apr
"Amalgamated Bank",0,FY26,Q1,May
"Amalgamated Bank",0,FY26,Q1,Jun
"Amazon Australia & Japan Ecom",0.00140000000000000,FY26,Q1,Apr
"Amazon Australia & Japan Ecom",0.00140000000000000,FY26,Q1,May
"Amazon Australia & Japan Ecom",0.0214000000000000,FY26,Q1,Jun
"Amazon Fresh",0,FY26,Q1,Apr
"Amazon Fresh",0,FY26,Q1,May
"Amazon Fresh",0,FY26,Q1,Jun
"Amex",0.0638000000000000,FY26,Q1,Apr
"Amex",0.0657000000000000,FY26,Q1,May
"Amex",0.0638000000000000,FY26,Q1,Jun
"Ammega Group",0.250000000000000,FY26,Q1,Apr
"Ammega Group",0.250000000000000,FY26,Q1,May
"Ammega Group",0.250000000000000,FY26,Q1,Jun
"API",0.00260000000000000,FY26,Q1,Apr
"API",0.00270000000000000,FY26,Q1,May
"API",0.00260000000000000,FY26,Q1,Jun
"Apogee Corporation",0,FY26,Q1,Apr
"Apogee Corporation",0,FY26,Q1,May
"Apogee Corporation",0,FY26,Q1,Jun
"AppianRX",0,FY26,Q1,Apr
"AppianRX",0,FY26,Q1,May
"AppianRX",0,FY26,Q1,Jun
"Apple",0,FY26,Q1,Apr
"Apple",0.185500000000000,FY26,Q1,May
"Apple",0.185500000000000,FY26,Q1,Jun
"Applied Systems",0,FY26,Q1,Apr
"Applied Systems",0,FY26,Q1,May
"Applied Systems",0,FY26,Q1,Jun
"Aquent",0.0624061440000000,FY26,Q1,Apr
"Aquent",0.0696179520000000,FY26,Q1,May
"Aquent",0.0688240800000000,FY26,Q1,Jun
"Arbor Pharmaceuticals",0,FY26,Q1,Apr
"Arbor Pharmaceuticals",0,FY26,Q1,May
"Arbor Pharmaceuticals",0,FY26,Q1,Jun
"Aristocrat Technologies",0.00800000000000000,FY26,Q1,Apr
"Aristocrat Technologies",0.00300000000000000,FY26,Q1,May
"Aristocrat Technologies",0.0130000000000000,FY26,Q1,Jun
"ARTIN Solutions",0.00920000000000000,FY26,Q1,Apr
"ARTIN Solutions",0.00950000000000000,FY26,Q1,May
"ARTIN Solutions",0.00920000000000000,FY26,Q1,Jun
"Assa Abloy",0,FY26,Q1,Apr
"Assa Abloy",0,FY26,Q1,May
"Assa Abloy",0,FY26,Q1,Jun
"Assa Abloy ANZ",0.150000000000000,FY26,Q1,Apr
"Assa Abloy ANZ",0,FY26,Q1,May
"Assa Abloy ANZ",0,FY26,Q1,Jun
"AstraZeneca",0,FY26,Q1,Apr
"AstraZeneca",0,FY26,Q1,May
"AstraZeneca",0,FY26,Q1,Jun
"Audax Management",0,FY26,Q1,Apr
"Audax Management",0,FY26,Q1,May
"Audax Management",0,FY26,Q1,Jun
"Ausreo",0.0551000000000000,FY26,Q1,Apr
"Ausreo",0.00250000000000000,FY26,Q1,May
"Ausreo",0.00250000000000000,FY26,Q1,Jun
"Australia Post (AFSL) MS",0.00400000000000000,FY26,Q1,Apr
"Australia Post (AFSL) MS",0.00410000000000000,FY26,Q1,May
"Australia Post (AFSL) MS",0.0100000000000000,FY26,Q1,Jun
"Avery Dennison",0,FY26,Q1,Apr
"Avery Dennison",0,FY26,Q1,May
"Avery Dennison",0,FY26,Q1,Jun
"Bakers Delight",0,FY26,Q1,Apr
"Bakers Delight",0,FY26,Q1,May
"Bakers Delight",0,FY26,Q1,Jun
"Bayer",0,FY26,Q1,Apr
"Bayer",0,FY26,Q1,May
"Bayer",0,FY26,Q1,Jun
"BCBS_LA ",0.112200000000000,FY26,Q1,Apr
"BCBS_LA ",0.115600000000000,FY26,Q1,May
"BCBS_LA ",0.112200000000000,FY26,Q1,Jun
"BenBridge",0.0660000000000000,FY26,Q1,Apr
"BenBridge",0.0680000000000000,FY26,Q1,May
"BenBridge",0.0660000000000000,FY26,Q1,Jun
"Berry Global",0.225800000000000,FY26,Q1,Apr
"Berry Global",0.113900000000000,FY26,Q1,May
"Berry Global",0.110600000000000,FY26,Q1,Jun
"BHPetrol Malaysia",0.00430000000000000,FY26,Q1,Apr
"BHPetrol Malaysia",0.00440000000000000,FY26,Q1,May
"BHPetrol Malaysia",0.00430000000000000,FY26,Q1,Jun
"Biomatrix",0.0160000000000000,FY26,Q1,Apr
"Biomatrix",0.0180000000000000,FY26,Q1,May
"Biomatrix",0.0160000000000000,FY26,Q1,Jun
"Bluechip International ",0.0116000000000000,FY26,Q1,Apr
"Bluechip International ",0,FY26,Q1,May
"Bluechip International ",0,FY26,Q1,Jun
"Bluecrest",0,FY26,Q1,Apr
"Bluecrest",0,FY26,Q1,May
"Bluecrest",0,FY26,Q1,Jun
"Blueleaf Energy",0.0230000000000000,FY26,Q1,Apr
"Blueleaf Energy",0.0280000000000000,FY26,Q1,May
"Blueleaf Energy",0,FY26,Q1,Jun
"Bluestem Brands",0.980100000000000,FY26,Q1,Apr
"Bluestem Brands",1.00980000000000,FY26,Q1,May
"Bluestem Brands",0.980100000000000,FY26,Q1,Jun
"BUS QLD",0.000100000000000000,FY26,Q1,Apr
"BUS QLD",0.000100000000000000,FY26,Q1,May
"BUS QLD",0.000100000000000000,FY26,Q1,Jun
"Cajun",0.0446000000000000,FY26,Q1,Apr
"Cajun",0.0539000000000000,FY26,Q1,May
"Cajun",0.0599000000000000,FY26,Q1,Jun
"Caravel Autism Health",0.0260000000000000,FY26,Q1,Apr
"Caravel Autism Health",0.0261000000000000,FY26,Q1,May
"Caravel Autism Health",0.0260000000000000,FY26,Q1,Jun
"Cardtronics Helpdesk",0.00260000000000000,FY26,Q1,Apr
"Cardtronics Helpdesk",0,FY26,Q1,May
"Cardtronics Helpdesk",0,FY26,Q1,Jun
"Carmax",0,FY26,Q1,Apr
"Carmax",0,FY26,Q1,May
"Carmax",0,FY26,Q1,Jun
"Carshield",0,FY26,Q1,Apr
"Carshield",0,FY26,Q1,May
"Carshield",0,FY26,Q1,Jun
"Castlegate James",0.00270000000000000,FY26,Q1,Apr
"Castlegate James",0,FY26,Q1,May
"Castlegate James",0,FY26,Q1,Jun
"Cat Rock Capital",0,FY26,Q1,Apr
"Cat Rock Capital",0,FY26,Q1,May
"Cat Rock Capital",0,FY26,Q1,Jun
"Cheetham Salt",0.0276800000000000,FY26,Q1,Apr
"Cheetham Salt",0.00500000000000000,FY26,Q1,May
"Cheetham Salt",0.00500000000000000,FY26,Q1,Jun
"Chemist Warehouse",0.0172000000000000,FY26,Q1,Apr
"Chemist Warehouse",0.0177000000000000,FY26,Q1,May
"Chemist Warehouse",0.0172000000000000,FY26,Q1,Jun
"Cherry America",0.00430000000000000,FY26,Q1,Apr
"Cherry America",0.00440000000000000,FY26,Q1,May
"Cherry America",0.00430000000000000,FY26,Q1,Jun
"Children's Health Queensland",0,FY26,Q1,Apr
"Children's Health Queensland",0,FY26,Q1,May
