,Title,LinkTitleNoMenu,LinkTitle,AccountType,BusinessUnit,Budget,Service_x0020_Revenue_x0020_conf,Service_x0020_Revenue_x0020_in_x,Non_x002d_service_x0020_Revenue_,Non_x002d_service_x0020_Revenue_0,Rev_x0020_Committed,Gap_x0020_from_x0020_Budget,Rev_x0020__x2013__x0020_Proactiv,FinancialYear,Quater,Company,PL,SalesHeadLookupId,DeliveryHeadLookupId,DeliveryDirectorLookupId,Industry,Actuals,Comments,SRCEE,SRCEN,SRCNBD,SRPEE,SRPEN,SRPNBD,SoftConfirmed,ClientPartnerLookupId,NSRConfirmed,NSRInProgress,Risk,Forecast,NSR_x0020_Risk,NSR_x0020_Forecast,Total_x0020_Risk,Total_x0020_Forecast,AccountCoverage,ClientPartnerNew,id,ContentType,Modified,Created,AuthorLookupId,EditorLookupId,_UIVersionString,Attachments,Edit,ItemChildCount,FolderChildCount,_ComplianceFlags,_ComplianceTag,_ComplianceTagWrittenTime,_ComplianceTagUserId,AppEditorLookupId,RDOnshore,RDOffshore,AppAuthorLookupId,CustomerShortName
"""a5f41ebf-11ab-462d-ae43-0d5ae3a521ae,11""",Allied Pinnacle,Allied Pinnacle,Allied Pinnacle,E,MDU,0.0,0.14,0.0,0.0,0.0,0.14,-0.14,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.167,"3/6 - Updated as per may actuals and verbal confirmation on proactive proposal acceptance
checked 05/4, Rajan to revert NSR Updated 9/ 4 based on Grace info ",0.14,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0252,0.0,0.0,0.0,0.0,0.0252,0.0000,0.0252,Delivery Led,Delivery Led,6697,Item,2024-12-26T14:18:00Z,2024-06-13T11:58:37Z,12,187,11.0,False,,0,0,,,,,30,,,,
"""7547536f-2a76-4a1c-8b50-ab779072cb3d,10""",Assa Abloy ANZ,Assa Abloy ANZ,Assa Abloy ANZ,E,MDU,0.0609,0.2,0.0,0.0,0.0,0.2,-0.1391,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,1.188,checked 05/4 OSA applied for amount TBC,0.2,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.2,0.0,0.0,0.0000,0.2000,Sales,Rajan Chauhan,6698,Item,2025-02-18T13:47:17Z,2024-06-13T11:58:37Z,12,88,10.0,False,,0,0,,,,,30,0.0,0.0,,
"""f7b5472f-c7d9-4500-9f68-b1a8e699e823,9""",Ausreo,Ausreo,Ausreo,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,119,Manufacturing,0.019,checked 13/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,0.0096,0.0,0.0,0.0,0.0,0.0096,0.0000,0.0096,Delivery Led,Delivery Led,6699,Item,2024-09-12T12:47:51Z,2024-06-13T11:58:38Z,12,12,9.0,False,,0,0,,,,,30,,,,
"""4c3513a2-4b56-4de0-98f8-f1169c9d1879,9""",Beaumont,Beaumont,Beaumont,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,119,Manufacturing,0.004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,0.0036,0.0,0.0,0.0,0.0,0.0036,0.0000,0.0036,Delivery Led,Delivery Led,6700,Item,2024-09-12T12:48:12Z,2024-06-13T11:58:39Z,12,12,9.0,False,,0,0,,,,,30,,,,
"""54584891-fc99-4cb0-b015-5b9afd52671b,10""",Bluechip International ,Bluechip International ,Bluechip International ,N,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,88,Retail,0.003,"checked 05/04, CE deal 13 K to closed by 20/4 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0000,0.0002,Sales,Rajan Chauhan,6701,Item,2024-12-26T14:18:25Z,2024-06-13T11:58:40Z,12,187,10.0,False,,0,0,,,,,30,,,,
"""c6055055-26f9-4077-927c-91052698d60e,7""",Castlegate James,Castlegate James,Castlegate James,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0015,0.0,0.0,0.0,0.0,0.0015,0.0000,0.0015,Delivery Led,Delivery Led,6702,Item,2024-12-26T14:19:00Z,2024-06-13T11:58:42Z,12,187,7.0,False,,0,0,,,,,30,,,,
"""56591bd5-1568-44bb-ac38-cee6b264042a,6""",Cheetham Salt,Cheetham Salt,Cheetham Salt,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.078,Updated 9/ 4 based on Grace info ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0726,0.0,0.0,0.0,0.0,0.0726,0.0000,0.0726,Sales,Rajan Chauhan,6703,Item,2024-12-26T14:19:27Z,2024-06-13T11:58:42Z,12,187,6.0,False,,0,0,,,,,30,,,,
"""5be499b6-d169-4371-a782-6bfce21edf00,17""",Chemist Warehouse,Chemist Warehouse,Chemist Warehouse,E,MDU,0.0,0.196,0.0,0.0,0.0,0.196,-0.196,0.0,FY25,Q1,SSL,ANZ,39,88,88,Retail,0.201,25/6. 82K in progress to move to confirm or not will be known by 29th Jun,0.196,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.196,0.0,0.0,0.0000,0.1960,Sales,Rajan Chauhan,6704,Item,2024-12-26T14:19:39Z,2024-06-13T11:58:42Z,12,187,17.0,False,,0,0,,,,,30,,,,
"""553d8cbc-3a34-4f22-b71e-bc370d70d8d0,10""",Cooldrive,Cooldrive,Cooldrive,E,MDU,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6705,Item,2024-12-26T14:19:52Z,2024-06-13T11:58:43Z,12,187,10.0,False,,0,0,,,,,30,,,,
"""217bbdaa-1d51-439b-a8ce-b43f5065dedd,11""",Daltron,Daltron,Daltron,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,119,Retail,0.036,"12/04 - Support agreement signed. checked 21/3, 17K Approved via email 256 K needs to be revalidated SRIP EN removed   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Vikas Singh,6706,Item,2024-09-12T12:51:01Z,2024-06-13T11:58:46Z,12,12,11.0,False,,0,0,,,,,30,,,,
